exp,env,size,works?,score,blk/step,struct,goal mask,goal length,reward agg,wkr countdown,mask ratchet
e46†,cartpole,small,✅,724 (755),1.00,200,off,var τ8 (reg),mean,no,no
e349,cheetah,BIG,"~ RUNNING, e333 rerun under replay-trailing-state fix (dur-fixed noop)",- (-),2.25,0,off,"var, no prior (reg0)","sum, block-rew, relabel, imag16",no,no
e348,hopper,BIG,"~ RUNNING, e332 rerun under replay-trailing-state fix (dur-fixed noop)",- (-),1.59,0,off,"var, no prior (reg0)","sum, block-rew, relabel, imag16",no,no
e347,cheetah,BIG,"~ RUNNING, e331 rerun under replay-trailing-state fix (dur-fixed noop)",- (-),0.99,0,off,var τ8 (lagr),"sum, block-rew, no relabel, imag16",no,no
e346,hopper,BIG,"~ RUNNING, e330 rerun under replay-trailing-state fix (dur-fixed noop)",- (-),0.99,0,off,var τ8 (lagr),"sum, block-rew, no relabel, imag16",no,no
e345,cheetah,BIG,"~ RUNNING, e327 rerun under replay-trailing-state fix (dur-fixed noop)",- (-),1.00,0,off,var τ8 (lagr),"sum, block-rew, relabel, imag16",no,no
e344,hopper,BIG,"~ RUNNING, e326 rerun under replay-trailing-state fix (dur-fixed noop)",- (-),0.99,0,off,var τ8 (lagr),"sum, block-rew, relabel, imag16",no,no
e343,cheetah,BIG,"~ RUNNING, e335 rerun under BOTH agent.py fixes (duration REINFORCE + replay trailing-state)",- (-),1.00,0,off,fixed@8 (no controller),"mean, block-rew, imag16",no,no
e342,hopper,BIG,"~ RUNNING, e334 rerun under BOTH agent.py fixes (duration REINFORCE + replay trailing-state)",- (-),1.00,0,off,fixed@8 (no controller),"mean, block-rew, imag16",no,no
e341,cheetah,BIG,"~ finished@4M, alive, decayed from an early (600k) peak, worker countdown ~no effect",57.4 (164.1),1.00,0,off,var τ8 (lagr),"sum, block-rew, relabel, imag16",yes,no
e340,hopper,BIG,"❌ finished@4M, hopper still ~dead (nominal 1.04, no real rescue), worker countdown no effect",1.04 (17.7),1.00,0,off,var τ8 (lagr),"sum, block-rew, relabel, imag16",yes,no
e339,cheetah,BIG,"~ finished@4M, alive but weak, still climbing at cutoff",14.3 (49.2),1.01,0,off,var τ8 (lagr),"mean, block-rew, no relabel, imag16",no,no
e338,hopper,BIG,"❌ finished@4M, hopper dead floor, mean+no-relabel no rescue",0.16 (14.2),1.00,0,off,var τ8 (lagr),"mean, block-rew, no relabel, imag16",no,no
e337,cheetah,BIG,"~ finished@4M, alive, stable, still climbing at cutoff",60.2 (153.8),1.01,0,off,var τ8 (lagr),"mean, block-rew, relabel, imag16",no,no
e336,hopper,BIG,"❌ finished@4M, hopper dead floor, mean-agg no rescue",0.18 (18.9),1.01,0,off,var τ8 (lagr),"mean, block-rew, relabel, imag16",no,no
e335,cheetah,BIG,"❌ finished@4M, EQUIVALENCE CHECK FAILS: cheetah far below Director baseline (25 vs e246's 352)",25.2 (58.7),1.00,0,off,fixed@8 (no controller),"mean, block-rew, imag16",no,no
e334,hopper,BIG,"❌ finished@4M, EQUIVALENCE CHECK FAILS: hopper still dead pinned to dur=8",0.06 (13.7),1.00,0,off,fixed@8 (no controller),"mean, block-rew, imag16",no,no
e333,cheetah,BIG,"❌ finished@4M, duration collapsed to 3.55 (no anchor) — WORST cheetah cell",6.9 (113.4),2.25,0,off,"var, no prior (reg0)","sum, block-rew, relabel, imag16",no,no
e332,hopper,BIG,"❌ finished@4M, hopper dead floor, no-anchor no rescue",0.23 (13.3),1.59,0,off,"var, no prior (reg0)","sum, block-rew, relabel, imag16",no,no
e331,cheetah,BIG,"✅ finished@4M, BEST cheetah cell in matrix, stable/rising — relabel OFF beats relabel ON (e327)",124.7 (216.6),0.99,0,off,var τ8 (lagr),"sum, block-rew, no relabel, imag16",no,no
e330,hopper,BIG,"❌ finished@4M, hopper dead floor, relabel-OFF no rescue",0.27 (11.9),0.99,0,off,var τ8 (lagr),"sum, block-rew, no relabel, imag16",no,no
e329,cheetah,BIG,"~ finished@4M, alive and stable (no late collapse, unlike imag16 twin e327)",46.1 (123.4),1.01,0,off,var τ8 (lagr),"sum, block-rew, relabel, imag32",no,no
e328,hopper,BIG,"❌ finished@4M, hopper dead floor, imag32 no rescue",0.25 (14.8),1.01,0,off,var τ8 (lagr),"sum, block-rew, relabel, imag32",no,no
e327,cheetah,BIG,"~ finished@4M, alive but collapsed late (peak196→trail50 7.3)",50.8 (196.0),1.00,0,off,var τ8 (lagr),"sum, block-rew, relabel, imag16",no,no
e326,hopper,BIG,"❌ finished@4M, hopper dead floor (BOTH FIXES)",0.08 (9.2),0.99,0,off,var τ8 (lagr),"sum, block-rew, relabel, imag16",no,no
e325,acrobot,BIG,descoped (pure Director ground truth not needed; see e334/e335),- (-),1.00,0,off,fix 8,mean,no,no
e324,hopper,BIG,descoped (pure Director ground truth not needed; see e334/e335),- (-),1.00,0,off,fix 8,mean,no,no
e323,cheetah,BIG,descoped (pure Director ground truth not needed; see e334/e335),- (-),1.00,0,off,fix 8,mean,no,no
e322,cartpole,BIG,descoped (pure Director ground truth not needed; see e334/e335),- (-),1.00,0,off,fix 8,mean,no,no
e321,cheetah,BIG,"❌ cancelled @~0%, PARTIAL-FIX ONLY, superseded by e333",- (-),1.00,0,off,"var, no prior (reg0)","sum, block-rew, relabel, imag16",no,no
e320,hopper,BIG,"❌ cancelled @~0%, PARTIAL-FIX ONLY, superseded by e332",- (-),1.00,0,off,"var, no prior (reg0)","sum, block-rew, relabel, imag16",no,no
e319,cheetah,BIG,"❌ cancelled @~0%, PARTIAL-FIX ONLY, superseded by e331",- (-),1.00,0,off,var τ8 (lagr),"sum, block-rew, no relabel, imag16",no,no
e318,hopper,BIG,"❌ cancelled @~0%, PARTIAL-FIX ONLY, superseded by e330",- (-),1.00,0,off,var τ8 (lagr),"sum, block-rew, no relabel, imag16",no,no
e317,cheetah,BIG,"❌ cancelled @~0%, PARTIAL-FIX ONLY, superseded by e329",- (-),1.00,0,off,var τ8 (lagr),"sum, block-rew, relabel, imag32",no,no
e316,hopper,BIG,"❌ cancelled @~0%, PARTIAL-FIX ONLY, superseded by e328",- (-),1.00,0,off,var τ8 (lagr),"sum, block-rew, relabel, imag32",no,no
e315,cheetah,BIG,"❌ cancelled @~0%, PARTIAL-FIX ONLY, superseded by e327",- (-),1.00,0,off,var τ8 (lagr),"sum, block-rew, relabel, imag16",no,no
e314,hopper,BIG,"❌ cancelled @~0%, PARTIAL-FIX ONLY (n_blocks fix, missing cont-identity fix), superseded by e326",- (-),1.00,0,off,var τ8 (lagr),"sum, block-rew, relabel, imag16",no,no
e313,acrobot,BIG,"❌ RUNNING @58%, decayed earlier/harder than e295 (reuse-on) — struct-only doesn't rescue acrobot either",4.6 (283.6),1.00,"200+adapt(dual, target0.01)",off,fix 8,mean,no,no
