partition	array_job	task_idx	exp	config	task	seed
a100	4706650	0	e735	director	dmc_cheetah_run	0
a100	4706650	1	e736	som_lip	dmc_cheetah_run	0
a100	4706650	2	e737	dreamerv3	dmc_cheetah_run	0
a100	4706650	3	e738	director	pinpad_six	0
a100	4706650	4	e739	som_lip	pinpad_six	0
a100	4706650	5	e740	dreamerv3	pinpad_six	0
a100	4706650	6	e741	director	dmc_hopper_hop	0
a100	4706650	7	e742	som_lip	dmc_hopper_hop	0
a100	4706650	8	e743	dreamerv3	dmc_hopper_hop	0
a100	4706650	9	e744	director	pinpad_five	0
a100	4706650	10	e745	som_lip	pinpad_five	0
a100	4706650	11	e746	dreamerv3	pinpad_five	0
a100	4706650	12	e747	director	dmc_cartpole_swingup	0
a100	4706650	13	e748	som_lip	dmc_cartpole_swingup	0
a100	4706650	14	e749	dreamerv3	dmc_cartpole_swingup	0
a100	4706650	15	e750	director	pinpad_four	0
a100	4706650	16	e751	som_lip	pinpad_four	0
a100	4706650	17	e752	dreamerv3	pinpad_four	0
a100	4706650	18	e762	director	pinpad_five	1
a100	4706650	19	e763	som_lip	pinpad_five	1
a100	4706650	20	e764	dreamerv3	pinpad_five	1
a100	4706650	21	e765	director	dmc_cartpole_swingup	1
a100	4706650	22	e766	som_lip	dmc_cartpole_swingup	1
a100	4706650	23	e767	dreamerv3	dmc_cartpole_swingup	1
a100	4706650	24	e768	director	pinpad_four	1
a100	4706650	25	e769	som_lip	pinpad_four	1
a100	4706650	26	e770	dreamerv3	pinpad_four	1
a100	4706650	27	e771	director	dmc_cheetah_run	2
a100	4706650	28	e772	som_lip	dmc_cheetah_run	2
a100	4706650	29	e773	dreamerv3	dmc_cheetah_run	2
a100	4706650	30	e774	director	pinpad_six	2
a100	4706650	31	e775	som_lip	pinpad_six	2
a100	4706650	32	e776	dreamerv3	pinpad_six	2
a100	4706650	33	e777	director	dmc_hopper_hop	2
a100	4706650	34	e778	som_lip	dmc_hopper_hop	2
a100	4706650	35	e779	dreamerv3	dmc_hopper_hop	2
v100	4706651	0	e753	director	dmc_cheetah_run	1
v100	4706651	1	e754	som_lip	dmc_cheetah_run	1
v100	4706651	2	e755	dreamerv3	dmc_cheetah_run	1
v100	4706651	3	e756	director	pinpad_six	1
v100	4706651	4	e757	som_lip	pinpad_six	1
v100	4706651	5	e758	dreamerv3	pinpad_six	1
v100	4706651	6	e780	director	pinpad_five	2
v100	4706651	7	e781	som_lip	pinpad_five	2
v100	4706651	8	e782	dreamerv3	pinpad_five	2
v100	4706651	9	e783	director	dmc_cartpole_swingup	2
v100	4706651	10	e784	som_lip	dmc_cartpole_swingup	2
v100	4706651	11	e785	dreamerv3	dmc_cartpole_swingup	2
p100	4706660	0	e759	director	dmc_hopper_hop	1
p100	4706660	1	e760	som_lip	dmc_hopper_hop	1
p100	4706660	2	e761	dreamerv3	dmc_hopper_hop	1
p100	4706660	3	e786	director	pinpad_four	2
p100	4706660	4	e787	som_lip	pinpad_four	2
p100	4706660	5	e788	dreamerv3	pinpad_four	2
